id,name,unit_price,category,img_url,create_at
984765749,胡椒焗秋葵,36,7,http://fuss10.elemecdn.com/3/7a/1ee37e01a07723ddcdf826f43305bjpeg.jpeg,1542809125
984775358,橄榄油炒时蔬,30,6,http://fuss10.elemecdn.com/6/18/9b40268478ad769f82631583a0999jpeg.jpeg,1542809125
984796012,肉酱意面,38,8,http://fuss10.elemecdn.com/e/63/a7f796833624ecc018cf0aeabdefdjpeg.jpeg,1542809125
984783015,黑胡椒培根意面,38,7,http://fuss10.elemecdn.com/e/ac/61943b26a46fa3957ed3f25fbb5c7jpeg.jpeg,1542809125
984770774,黑椒牛肉饭,39,7,http://fuss10.elemecdn.com/c/53/2e68bdfc85f105400cc7de6adb52ajpeg.jpeg,1542809125
986933299,米饭,3,7,,1542809125
984801266,榴莲披萨,58,9,http://fuss10.elemecdn.com/e/fe/8f0b9958a4436e935c5770c64fb0bjpeg.jpeg,1542809125
984783384,什锦果香大薄饼,58,8,http://fuss10.elemecdn.com/c/ef/9afec43eb19c4e04f7c5123916436jpeg.jpeg,1542809125
984788007,蜜鸡牛油果大薄饼,68,8,http://fuss10.elemecdn.com/6/99/4be5f039d6bc63481b1a34cff9c0ajpeg.jpeg,1542809125
984783288,香肠大薄饼,78,8,http://fuss10.elemecdn.com/3/1a/bc7e4e76dce1c9e22fe8982a6b5e7jpeg.jpeg,1542809125
984811029,罗勒鲜虾大薄饼,88.2,8,http://fuss10.elemecdn.com/3/97/1a0406fadac582d06b7c3fa4cec94jpeg.jpeg,1542809125
984796516,基辅可可酥卷,38,10,http://fuss10.elemecdn.com/e/f5/82f64b41d2c762c640501aac39830jpeg.jpeg,1542809125
984796468,喀秋莎蛋糕,38,9,http://fuss10.elemecdn.com/b/bc/5cc31c3e373e7de3b79dd24301b74jpeg.jpeg,1542809125
984806437,炸薯条,18,11,http://fuss10.elemecdn.com/8/67/ecf5874b09b555637cec117f7a66fjpeg.jpeg,1542809125
984783769,炸鱼柳,28,10,http://fuss10.elemecdn.com/4/64/b40d9dbcb61bcffba910bdb496a6bjpeg.jpeg,1542809125
984816145,香炸鸡米花,32,10,http://fuss10.elemecdn.com/8/de/4a21613fcde9a2891ba7b1790b5e3jpeg.jpeg,1542809125
984783671,炸洋葱圈,28,10,http://fuss10.elemecdn.com/d/78/cd0f793b76ac28771c60858b29b0fjpeg.jpeg,1542809125
760906890,牛肉鲜蔬番茄乌冬面,35,12,http://fuss10.elemecdn.com/9/54/70e3dd7229ad8b5ca338f793d67f2jpeg.jpeg,1542809126
131452918,猪软骨乌冬面,32,11,http://fuss10.elemecdn.com/0/6d/d2462965b88ae2cb6f102b72d61f4jpeg.jpeg,1542809126
760920666,酸汤肥牛叉烧乌冬面,31,11,http://fuss10.elemecdn.com/4/30/7daa9514ea0c51ec3ec7fd4b33319jpeg.jpeg,1542809126
131452915,牛肉番茄乌冬面,28,11,http://fuss10.elemecdn.com/b/7b/3349bc869d8e2085a35b7ec791652jpeg.jpeg,1542809126
